ts,lane,path,level,step,idx,totalInSession,sinceBlockSec,targetRate,predictedTrip,status,class,ms,bytes,retryAfter,blocked,err
2026-08-01T02:07:02.323Z,reload_probe,/faq,первый заход,,0,1,,,,200,ok,1063,,,False,
2026-08-01T02:07:03.386Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,1,2,,,,200,ok,287,,,False,
2026-08-01T02:07:05.675Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,2,3,,,,200,ok,319,,,False,
2026-08-01T02:07:07.995Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,3,4,,,,200,ok,300,,,False,
2026-08-01T02:07:10.297Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,4,5,,,,200,ok,271,,,False,
2026-08-01T02:07:12.569Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,5,6,,,,200,ok,320,,,False,
2026-08-01T02:07:14.893Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,6,7,,,,200,ok,304,,,False,
2026-08-01T02:07:17.199Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,7,8,,,,200,ok,526,,,False,
2026-08-01T02:07:19.726Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,8,9,,,,200,ok,330,,,False,
2026-08-01T02:07:22.057Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,9,10,,,,200,ok,296,,,False,
2026-08-01T02:07:24.353Z,reload_probe,/faq,10 перезагрузок каждые 2000 мс,,10,11,,,,200,ok,315,,,False,
2026-08-01T02:07:46.669Z,reload_probe,/faq,20 перезагрузок каждые 1000 мс,,1,12,,,,200,ok,309,,,False,
2026-08-01T02:07:47.980Z,reload_probe,/faq,20 перезагрузок каждые 1000 мс,,2,13,,,,200,ok,315,,,False,
2026-08-01T02:07:49.297Z,reload_probe,/faq,20 перезагрузок каждые 1000 мс,,3,14,,,,200,ok,308,,,False,
2026-08-01T02:07:50.607Z,reload_probe,/faq,20 перезагрузок каждые 1000 мс,,4,15,,,,200,ok,310,,,False,
