ts,lane,transport,nav,page,path,cat,robots,authUsed,headless,method,status,class,ms,ttfb,domMs,bytes,subFailed,httpErrors,consoleErrors,retryAfter,redirect,note,err
2026-07-30T19:15:49.221Z,guest_http_user,http,,home,/,public,True,False,,,200,login_wall,1697,,,114832,,,,,,,
2026-07-30T19:15:58.031Z,guest_http_user,http,,manga_catalog,/manga,catalog,True,False,,,200,login_wall,582,,,82739,,,,,,,
2026-07-30T19:16:03.739Z,guest_http_user,http,,updates,/updates,public,True,False,,,200,login_wall,492,,,56139,,,,,,,
2026-07-30T19:16:10.970Z,guest_http_user,http,,battle,/battle,public,True,False,,,302,auth_redirect,286,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:16:18.752Z,guest_http_user,http,,quiz,/quiz,public,True,False,,,302,auth_redirect,286,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:16:23.447Z,guest_http_user,http,,animators,/animators,public,True,False,,,200,login_wall,510,,,43823,,,,,,,
2026-07-30T19:16:30.041Z,guest_http_user,http,,alliances,/alliances,public,True,False,,,302,auth_redirect,285,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:16:37.328Z,guest_http_user,http,,faq,/faq,static,True,False,,,200,login_wall,464,,,27292,,,,,,,
2026-07-30T19:16:45.417Z,guest_http_user,http,,terms,/terms,static,True,False,,,200,login_wall,473,,,55253,,,,,,,
2026-07-30T19:16:51.366Z,guest_http_user,http,,privacy,/privacy,static,True,False,,,200,login_wall,499,,,30463,,,,,,,
2026-07-30T19:16:56.769Z,guest_http_user,http,,dmca,/dmca,static,True,False,,,200,login_wall,469,,,30300,,,,,,,
2026-07-30T19:17:02.530Z,guest_http_user,http,,types_manga,/types/manga,catalog,True,False,,,200,login_wall,565,,,49355,,,,,,,
2026-07-30T19:17:07.235Z,guest_http_user,http,,types_manga_2025,/types/manga/2025,catalog,True,False,,,200,login_wall,565,,,52528,,,,,,,
2026-07-30T19:17:15.116Z,guest_http_user,http,,types_manxva,/types/manxva,catalog,True,False,,,200,login_wall,541,,,48113,,,,,,,
2026-07-30T19:17:20.855Z,guest_http_user,http,,robots_txt,/robots.txt,meta,True,False,,,200,ok,252,,,433,,,,,,,
2026-07-30T19:17:27.723Z,guest_http_user,http,,cards_catalog,/cards,cards,False,False,,,302,auth_redirect,355,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:17:34.428Z,guest_http_user,http,,card_users,/cards/2530/users,cards,False,False,,,302,auth_redirect,286,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:17:40.495Z,guest_http_user,http,,card_want,/cards/2530/offers/want,cards,False,False,,,200,login_wall,485,,,68710,,,,,,,
2026-07-30T19:17:46.566Z,guest_http_user,http,,feed,/feed,social,False,False,,,200,login_wall,464,,,26115,,,,,,,
2026-07-30T19:17:53.672Z,guest_http_user,http,,rating,/rating,social,False,False,,,302,auth_redirect,273,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:18:01.488Z,guest_http_user,http,,collections,/collections,social,False,False,,,302,auth_redirect,289,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:18:06.935Z,guest_http_user,http,,decks,/decks,cards,False,False,,,302,auth_redirect,300,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:18:11.768Z,guest_http_user,http,,market,/market,cards,False,False,,,302,auth_redirect,279,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:18:19.800Z,guest_http_user,http,,clubs,/clubs,social,False,False,,,302,auth_redirect,283,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:18:25.006Z,guest_http_user,http,,user_profile,/users/9768,social,False,False,,,302,auth_redirect,275,,,350,,,,,https://mangabuff.ru/login,,
2026-07-30T19:18:29.323Z,guest_http_user,http,,login_form,/login,auth,False,False,,,200,ok,478,,,29262,,,,,,,
2026-07-30T19:18:37.092Z,guest_http_user,http,,not_found,/__baryga_probe_404__,control,True,False,,,404,not_found,298,,,1517,,,,,,,
2026-07-30T19:33:14.017Z,http_user_slow,http,,trades_in,/trades,обмены,True,True,,,200,login_wall,1535,,,35813,,,,,,,
2026-07-30T19:33:22.039Z,http_user_slow,http,,trades_out,/trades/offers,обмены,True,True,,,200,login_wall,445,,,32754,,,,,,,
